lead_id,name,city,state,country,phone,website,email,email_source,email_status,email_confidence,contact_form_url,b2b_score,gold_split_status,gold_split_reason,source_url
8a72f9d4dceece11,JC Decor,Belo Horizonte,Minas Gerais,Brazil,+55 31 3201-3187,https://www.jcdecor.com.br/,vendas@jcdecor.com.br,hunter_domain_search,found,high,,14,strong_b2b_sales_ready,flooring/product signal; strong distributor/wholesale/import signal; broad construction/decor/finishing signal; website available; phone available,https://www.google.com/maps/search/?api=1&query=JC%20Decor&query_place_id=ChIJz6ufsuKZpgARpW6R-hs-Aa4
361d9463f053b190,Atacadão dos Pisos,São João de Meriti,Rio de Janeiro,Brazil,+55 21 2751-2063,https://atacadaodospisosrj.com.br/,comercial@atacadaodospisosrj.com.br,website_scraper,found,high,https://atacadaodospisosrj.com.br,14,strong_b2b_sales_ready,flooring/product signal; strong distributor/wholesale/import signal; broad construction/decor/finishing signal; website available; phone available,https://www.google.com/maps/search/?api=1&query=Atacad%C3%A3o%20dos%20Pisos&query_place_id=ChIJAaKI6qtlmQAR_IwubRpvn6k
dafe6f984e630f0e,RC Distribuidora de Piso e Revestimento,Uberlândia,MG,Brazil,+55 34 99887-1579,https://www.rcdistribuidoradepisos.com.br/,,website_scraper,blocked_or_forbidden,,,14,strong_b2b_sales_ready,flooring/product signal; strong distributor/wholesale/import signal; website available; phone available,https://www.google.com/maps/search/?api=1&query=RC%20Distribuidora%20de%20Piso%20e%20Revestimento&query_place_id=ChIJNbR8J2tEpJQRLmYKXoQWOSk
d017f4ec2cc74be3,Atacadão da Suburbana Materiais de Acabamentos,Rio de Janeiro,Rio de Janeiro,Brazil,+55 21 97736-4789,https://bento.me/atacadaosuburbana,,website_scraper,timeout_or_unreachable,,,14,strong_b2b_sales_ready,flooring/product signal; strong distributor/wholesale/import signal; broad construction/decor/finishing signal; website available; phone available,https://www.google.com/maps/search/?api=1&query=Atacad%C3%A3o%20da%20Suburbana%20Materiais%20de%20Acabamentos&query_place_id=ChIJI2Gd9ql9mQARnOp8jw_nSnk
f0b0de94dabe42d5,"Perin Casa & Construção: Tintas, Porcelanato, Material de Construção, Boa Vista RR",Boa Vista,Roraima,Brazil,+55 95 3198-3300,https://www.instagram.com/perincasaconstrucao/,,website_scraper,not_found,,,14,strong_b2b_sales_ready,flooring/product signal; strong distributor/wholesale/import signal; broad construction/decor/finishing signal; website available; phone available,https://www.google.com/maps/search/?api=1&query=Perin%20Casa%20%26%20Constru%C3%A7%C3%A3o%3A%20Tintas%2C%20Porcelanato%2C%20Material%20de%20Constru%C3%A7%C3%A3o%2C%20Boa%20Vista%20RR&query_place_id=ChIJ30Z8Gv8Hk40RnwLUfW_hf-I
2f08e72201f46d05,Cristal Pisos Distribuidora,Aparecida de Goiânia,Goiás,Brazil,+55 62 3282-0661,https://www.cristalpisos.com.br/,,website_scraper,contact_form_only,,https://www.cristalpisos.com.br,14,strong_b2b_sales_ready,flooring/product signal; strong distributor/wholesale/import signal; broad construction/decor/finishing signal; website available; phone available,https://www.google.com/maps/search/?api=1&query=Cristal%20Pisos%20Distribuidora&query_place_id=ChIJnaoDjvP6XpMRMyxbe0QOpYk
afa5e53b3b325690,Atacadão dos Pisos - Vitória da Conquista,Vitória da Conquista,Bahia,Brazil,+55 77 98104-0132,https://atacadaodospisos.com/,,website_scraper,blocked_or_forbidden,,,14,strong_b2b_sales_ready,flooring/product signal; strong distributor/wholesale/import signal; broad construction/decor/finishing signal; website available; phone available,https://www.google.com/maps/search/?api=1&query=Atacad%C3%A3o%20dos%20Pisos%20-%20Vit%C3%B3ria%20da%20Conquista&query_place_id=ChIJof5y1qs7RgcR-LhDd8GsXm8
b798054ed8492261,Constrel Materiais de Construção,Manaus,Amazonas,Brazil,+55 92 3234-8337,https://pt-br.facebook.com/Constrel-materiais-de-constru%C3%A7%C3%A3o-253561754784419/,,website_scraper,not_found,,,14,strong_b2b_sales_ready,flooring/product signal; strong distributor/wholesale/import signal; broad construction/decor/finishing signal; website available; phone available,https://www.google.com/maps/search/?api=1&query=Constrel%20Materiais%20de%20Constru%C3%A7%C3%A3o&query_place_id=ChIJaR0uyWEFbJIRhjJ4DPgy600
a53db14bd8e45ae3,Importadora Luanjo,Manaus,Amazonas,Brazil,+55 92 98122-0162,https://www.importadoraluanjo.com.br/,,website_scraper,contact_form_only,,https://www.importadoraluanjo.com.br,14,strong_b2b_sales_ready,flooring/product signal; strong distributor/wholesale/import signal; broad construction/decor/finishing signal; website available; phone available,https://www.google.com/maps/search/?api=1&query=Importadora%20Luanjo&query_place_id=ChIJXR44c54FbJIRiARSlCEfbK4
6b3187b051c17b61,Atacadão dos Pisos BH,Belo Horizonte,Minas Gerais,Brazil,+55 31 3424-8200,https://atacadaodospisosbh.com.br/,,website_scraper,not_found,,,14,strong_b2b_sales_ready,flooring/product signal; strong distributor/wholesale/import signal; website available; phone available,https://www.google.com/maps/search/?api=1&query=Atacad%C3%A3o%20dos%20Pisos%20BH&query_place_id=ChIJ6-ps6ZqQpgARmN4NRXO-H9c
